id,claim,label,golden_evi,claim_temporal_arguments,evidence_title,evidence_content,processed_claim_some_punctuation,processed_evidence_some_punctuation,claim_named_entities,evidences_named_entities,contradiction_prob,neutral_prob,entailment_prob,all_claim_entities,claim_chunks,all_evidence_entities,evidence_chunks,count_claim_entities,count_evidence_entities,count_claim_named_entities,count_evidence_named_entities,count_claim_nouns,count_evidence_nouns,similarity_score,coref_flag,claim_entities_string,evidence_entities_string,temporal_claim,temporal_evidence,claim_numbers,evidence_numbers,all_entities_similarity,all_chunks_similarity,named_entities_similarity,temporal_similarity,count_claim_numbers,count_evidence_numbers,openai_results,same_entity_label,same_entity_justification,general_facts_label,general_facts_justification,time_label,time_justification,topic
50750,Evan Rachel Wood started acting in the 1990s.,SUPPORTS,NOT ENOUGH INFO,['in the 1990s'],Evan_Rachel_Wood,"Wood continued acting mostly in independent films , including Pretty Persuasion LRB 2005 RRB , Down in the Valley LRB 2006 RRB , Running with Scissors LRB 2006 RRB , and in the big studio production Across the Universe LRB 2007 RRB .",Evan Rachel Wood started acting in the 1990s.,"Wood continued acting mostly in independent films, including Pretty Persuasion LRB 2005 RRB, Down in the Valley LRB 2006 RRB, Running with Scissors LRB 2006 RRB, and in the big studio production Across the Universe LRB 2007 RRB.","['Evan Rachel Wood', 'the 1990s']","['Pretty Persuasion', '2005', 'Valley', '2006', '2006', '2007']",0.010623512,0.984247804,0.005128708,['Evan Rachel Wood'],['Evan Rachel Wood'],"['Pretty Persuasion', 'Valley']","['Wood', 'independent films', 'Scissors', 'the big studio production']",1,2,2,6,1,4,0.380610108,TRUE,['Evan Rachel Wood'],['Wood'],['the 1990s'],"['2006', '2005', '2007']",[],[],0.105555556,0.238888889,0.170171857,0.267096281,0,0,"{'general_facts_justification': 'The evidence provides a list of films that Evan Rachel Wood acted in, which shows that she continued acting after the 1990s.', 'general_facts_label': 'SUPPORTS', 'same_entity_justification': 'The claim and evidence both refer to Evan Rachel Wood, an actress.', 'same_entity_label': True, 'time_justification': 'The evidence mentions specific years when Evan Rachel Wood acted in various films, which supports the claim that she started acting in the 1990s.', 'time_label': 'SUPPORTS', 'topic': ""Evan Rachel Wood's acting career""}","The evidence provides a list of films that Evan Rachel Wood acted in, which shows that she continued acting after the 1990s.",SUPPORTS,"The claim and evidence both refer to Evan Rachel Wood, an actress.",TRUE,"The evidence mentions specific years when Evan Rachel Wood acted in various films, which supports the claim that she started acting in the 1990s.",SUPPORTS,Evan Rachel Wood's acting career
63933,The USS Constitution is closed to visitors 9 months out of the year.,REFUTES,REFUTES,['9 months out of the year'],USS_Constitution,"As a fully commissioned U.S. Navy ship , her crew of 60 officers and sailors participate in ceremonies , educational programs , and special events while keeping Constitution open to visitors year round and providing free tours .",The USS Constitution is closed to visitors 9 months out of the year.,"As a fully commissioned U.S. Navy ship, her crew of 60 officers and sailors participate in ceremonies, educational programs, and special events while keeping Constitution open to visitors year round and providing free tours.","['The USS Constitution', '9 months', 'the year']","['U.S. Navy', '60', 'Constitution', 'year']",0.998572826,0.001137379,0.000289758,['The USS Constitution'],"['The USS Constitution', 'visitors']","['U.S. Navy', '60', 'Constitution']","['a fully commissioned U.S. Navy ship', 'her crew', '60 officers', 'sailors', 'ceremonies', 'educational programs', 'special events', 'Constitution', 'visitors', 'free tours']",1,3,3,4,2,10,0.409496486,TRUE,['The USS Constitution'],"['her', 'Constitution']","['the year', '9 months']",['year'],[],['60'],0.277777778,0.49999997,0.388173908,0.466559023,0,1,"{'general_facts_justification': 'The evidence states that the crew of the USS Constitution keeps it open to visitors year round and provides free tours, which supports the claim that the USS Constitution is open to visitors.', 'general_facts_label': 'SUPPORTS', 'same_entity_justification': 'The evidence refers to the USS Constitution, which is the same entity mentioned in the claim.', 'same_entity_label': True, 'time_justification': 'The evidence does not provide any specific date or time information to match with the claim.', 'time_label': 'NOT ENOUGH INFO', 'topic': 'USS Constitution'}","The evidence states that the crew of the USS Constitution keeps it open to visitors year round and provides free tours, which supports the claim that the USS Constitution is open to visitors.",SUPPORTS,"The evidence refers to the USS Constitution, which is the same entity mentioned in the claim.",TRUE,The evidence does not provide any specific date or time information to match with the claim.,NOT ENOUGH INFO,USS Constitution
67395,Sophie Turner finished college on February.,NOT ENOUGH INFO,NOT ENOUGH INFO,['on February'],Sophie_Turner,Turner has also starred in the television film The Thirteenth Tale LRB 2013 RRB and she made her feature film debut in Another Me LRB 2013 RRB .,Sophie Turner finished college on February.,Turner has also starred in the television film The Thirteenth Tale LRB 2013 RRB and she made her feature film debut in Another Me LRB 2013 RRB.,"['Sophie Turner', 'February']","['Turner', 'The Thirteenth Tale', '2013', '2013']",0.011131373,0.983968973,0.004899652,['Sophie Turner'],"['Sophie Turner', 'college']","['Turner', 'The Thirteenth Tale']","['Turner', 'the television film', 'she', 'her feature film debut']",1,2,2,4,2,4,0.321663558,TRUE,['Sophie Turner'],"['Turner', 'she', 'her']",['february'],['2013'],[],[],0.333333333,0.301590115,0.263888889,0.320965141,0,0,"{'general_facts_justification': ""The evidence does not provide any information about Sophie Turner's college education, so it cannot support or refute the claim."", 'general_facts_label': 'NOT ENOUGH INFO', 'same_entity_justification': ""The evidence does not mention Sophie Turner's college education, so it is unclear if it refers to the same entity as the claim."", 'same_entity_label': False, 'time_justification': 'The evidence mentions that Turner starred in a television film and made her feature film debut in 2013, which matches the year mentioned in the claim.', 'time_label': 'SUPPORTS', 'topic': ""Sophie Turner's education""}","The evidence does not provide any information about Sophie Turner's college education, so it cannot support or refute the claim.",NOT ENOUGH INFO,"The evidence does not mention Sophie Turner's college education, so it is unclear if it refers to the same entity as the claim.",FALSE,"The evidence mentions that Turner starred in a television film and made her feature film debut in 2013, which matches the year mentioned in the claim.",SUPPORTS,Sophie Turner's education
40542,Maria I of Portugal was born in a year other than 1734.,REFUTES,NOT ENOUGH INFO,['in a year other than 1734'],Portugal,He would be proclaimed King of Portugal in the Battle of Ourique in 1139 and was recognised as such by neighbouring kingdoms in 1143 .,Maria I of Portugal was born in a year other than 1734.,He would be proclaimed King of Portugal in the Battle of Ourique in 1139 and was recognised as such by neighbouring kingdoms in 1143.,"['Maria', 'Portugal', 'a year other than 1734']","['King of Portugal', 'the Battle of Ourique', '1139', '1143']",0.053069346,0.935391545,0.011539126,"['Maria', 'Portugal']","['I', 'Portugal', 'a year']","['King of Portugal', 'the Battle of Ourique']","['He', 'King', 'Portugal', 'the Battle', 'Ourique', 'neighbouring kingdoms']",2,2,3,4,3,6,0.389942884,TRUE,"['Maria I of Portugal', 'Portugal']","['He', 'Portugal']","['1734', 'a year']","['1143', '1139']",[],[],0.321428571,0.260074764,0.385701984,0.108265191,0,0,"{'general_facts_justification': ""The evidence does not provide any information related to Maria I of Portugal's birth year. Therefore, it cannot be determined whether the evidence supports or refutes the claim."", 'general_facts_label': 'NOT ENOUGH INFO', 'same_entity_justification': 'The evidence talks about a king of Portugal in the 12th century, while the claim is about a queen of Portugal in the 18th century. They do not refer to the same entity.', 'same_entity_label': False, 'time_justification': 'The evidence talks about a battle in 1139 and recognition by neighboring kingdoms in 1143, which is more than 500 years before the claimed birth year of 1734. Therefore, the time information in the evidence refutes the claim.', 'time_label': 'REFUTES', 'topic': 'Portuguese history'}","The evidence does not provide any information related to Maria I of Portugal's birth year. Therefore, it cannot be determined whether the evidence supports or refutes the claim.",NOT ENOUGH INFO,"The evidence talks about a king of Portugal in the 12th century, while the claim is about a queen of Portugal in the 18th century. They do not refer to the same entity.",FALSE,"The evidence talks about a battle in 1139 and recognition by neighboring kingdoms in 1143, which is more than 500 years before the claimed birth year of 1734. Therefore, the time information in the evidence refutes the claim.",REFUTES,Portuguese history
5249,Natalie Wood died of a heart attack at the age of 43.,NOT ENOUGH INFO,NOT ENOUGH INFO,['at the age of 43'],Natalie_Wood,"Natalie Wood LRB born Natalia Nikolaevna Zakharenko ; July 20 , 1938 November 28 or 29 , 1981 RRB was an American film and television actress .",Natalie Wood died of a heart attack at the age of 43.,"Natalie Wood LRB born Natalia Nikolaevna Zakharenko ; July 20, 1938 November 28 or 29, 1981 RRB was an American film and television actress.","['Natalie Wood', 'the age of 43']","['Natalie Wood', 'Natalia', 'Nikolaevna Zakharenko', 'July 20, 1938', 'November 28', '29, 1981', 'American']",0.028170517,0.923983634,0.047845796,['Natalie Wood'],"['Natalie Wood', 'a heart attack', 'the age']","['Natalie Wood', 'Natalia', 'Nikolaevna Zakharenko', 'American']","['Natalie Wood LRB', 'Natalia Nikolaevna Zakharenko', 'July', 'November', 'RRB', 'an American film and television actress']",1,4,2,7,3,6,0.538434625,TRUE,['Natalie Wood'],"['Natalie Wood LRB born Natalia Nikolaevna Zakharenko ; July 20, 1938 November 28 or 29, 1981 RRB']",[],"['29 1981', 'july 20 1938 november 28']",[],[],0.5,0.382196516,0.335984945,0,0,0,"{'general_facts_justification': 'The evidence provides information about Natalie Wood, confirming that she was an American film and television actress. However, it does not provide any information about her cause of death, so it does not refute or support the claim that she died of a heart attack.', 'general_facts_label': 'SUPPORTS', 'same_entity_justification': 'The claim and evidence both refer to Natalie Wood, an American film and television actress.', 'same_entity_label': True, 'time_justification': 'The evidence mentions that Natalie Wood was born on July 20, 1938 and died in November 1981. This supports the claim that she died at the age of 43, as she would have turned 43 in July of 1981.', 'time_label': 'SUPPORTS', 'topic': 'Natalie Wood'}","The evidence provides information about Natalie Wood, confirming that she was an American film and television actress. However, it does not provide any information about her cause of death, so it does not refute or support the claim that she died of a heart attack.",SUPPORTS,"The claim and evidence both refer to Natalie Wood, an American film and television actress.",TRUE,"The evidence mentions that Natalie Wood was born on July 20, 1938 and died in November 1981. This supports the claim that she died at the age of 43, as she would have turned 43 in July of 1981.",SUPPORTS,Natalie Wood
6606,Pacific Blue started in 1996.,SUPPORTS,SUPPORTS,['in 1996'],Pacific_Blue_-LRB-TV_series-RRB-,"The show ran for five seasons on the USA Network , from March 2 , 1996 to April 9 , 2000 , with a total of 101 episodes .",Pacific Blue started in 1996.,"The show ran for five seasons on the USA Network, from March 2, 1996 to April 9, 2000, with a total of 101 episodes.","['Pacific Blue', '1996']","['five seasons', 'the USA Network', 'March 2, 1996 to April 9, 2000', '101']",0.001657255,0.993114173,0.005228634,['Pacific Blue'],['Pacific Blue'],"['the USA Network', '101']","['The show', 'the USA Network', 'March', 'April', 'a total', '101 episodes']",1,2,2,4,1,6,0.265425026,TRUE,['Pacific Blue'],['The show'],['1996'],"['march 2 1996', 'april 9 2000']",[],['101'],0.0625,0.098214286,0.398809522,1,0,1,"{'general_facts_justification': 'The evidence provides specific information about the show Pacific Blue, including its duration and number of episodes, which supports the claim that it started in 1996.', 'general_facts_label': 'SUPPORTS', 'same_entity_justification': 'The claim and evidence both refer to Pacific Blue.', 'same_entity_label': True, 'time_justification': 'The evidence states that Pacific Blue ran from March 2, 1996 to April 9, 2000, which matches the claim that it started in 1996.', 'time_label': 'SUPPORTS', 'topic': 'Pacific Blue'}","The evidence provides specific information about the show Pacific Blue, including its duration and number of episodes, which supports the claim that it started in 1996.",SUPPORTS,The claim and evidence both refer to Pacific Blue.,TRUE,"The evidence states that Pacific Blue ran from March 2, 1996 to April 9, 2000, which matches the claim that it started in 1996.",SUPPORTS,Pacific Blue
24220,George Cukor passed away in 1983.,SUPPORTS,NOT ENOUGH INFO,['in 1983'],George_Cukor,He continued to work into the 1980s .,George Cukor passed away in 1983.,He continued to work into the 1980s.,"['George Cukor', '1983']",['the 1980s'],0.949140489,0.046329923,0.004529558,['George Cukor'],['George Cukor'],[],['He'],1,0,2,1,1,1,0.386593074,TRUE,['George Cukor'],['He'],['1983'],['the 1980s'],[],[],0,0.041666667,0.21824573,0.571403861,0,0,"{'general_facts_justification': 'While the evidence suggests that George Cukor was still working in the 1980s, it does not provide information about whether he passed away in 1983 or not.', 'general_facts_label': 'NOT ENOUGH INFO', 'same_entity_justification': 'The claim and evidence both refer to George Cukor.', 'same_entity_label': True, 'time_justification': 'The evidence supports the claim that George Cukor passed away in 1983, as it indicates that he was still working in the 1980s, which would have been before his death in 1983.', 'time_label': 'SUPPORTS', 'topic': 'George Cukor'}","While the evidence suggests that George Cukor was still working in the 1980s, it does not provide information about whether he passed away in 1983 or not.",NOT ENOUGH INFO,The claim and evidence both refer to George Cukor.,TRUE,"The evidence supports the claim that George Cukor passed away in 1983, as it indicates that he was still working in the 1980s, which would have been before his death in 1983.",SUPPORTS,George Cukor
1513,Elephants have rarely been featured in popular culture.,NOT ENOUGH INFO,NOT ENOUGH INFO,['rarely'],Elephant,Elephants are large mammals of the family Elephantidae and the order Proboscidea .,Elephants have rarely been featured in popular culture.,Elephants are large mammals of the family Elephantidae and the order Proboscidea.,[],"['Elephantidae', 'Proboscidea']",0.006281155,0.980105102,0.013613687,[],"['Elephants', 'popular culture']","['Elephantidae', 'Proboscidea']","['Elephants', 'large mammals', 'the family Elephantidae', 'the order Proboscidea']",0,2,0,2,2,4,0.446429491,FALSE,[],[],[],[],[],[],0,0.354921341,0,0.5,0,0,"{'general_facts_justification': 'The evidence provides general information about elephants, supporting the claim that they are not often featured in popular culture.', 'general_facts_label': 'SUPPORTS', 'same_entity_justification': 'The evidence and claim both refer to elephants.', 'same_entity_label': True, 'time_justification': 'The evidence does not mention any specific time period or date, so it cannot address the temporal aspect of the claim.', 'time_label': 'NOT ENOUGH INFO', 'topic': 'Elephants'}","The evidence provides general information about elephants, supporting the claim that they are not often featured in popular culture.",SUPPORTS,The evidence and claim both refer to elephants.,TRUE,"The evidence does not mention any specific time period or date, so it cannot address the temporal aspect of the claim.",NOT ENOUGH INFO,Elephants
13176,The first Ku Klux Klan remained until today.,REFUTES,REFUTES,['until today'],Ku_Klux_Klan,"The first Klan flourished in the Southern United States in the late 1860s , then died out by the early 1870s .",The first Ku Klux Klan remained until today.,"The first Klan flourished in the Southern United States in the late 1860s, then died out by the early 1870s.","['first', 'Ku Klux Klan', 'today']","['first', 'Klan', 'the Southern United States', 'the late 1860s', 'the early 1870s']",0.99535358,0.004041334,0.000605179,"['first', 'Ku Klux Klan']",['The first Ku Klux Klan'],"['first', 'Klan', 'the Southern United States']","['The first Klan', 'the Southern United States']",2,3,3,5,1,2,0.710318327,TRUE,['The first Ku Klux Klan'],['The first Klan'],['today'],"['the early 1870s', 'the late 1860s']",[],[],0.46875,0.474999994,0.445797622,0.353988171,0,0,"{'general_facts_justification': 'The evidence refutes the claim that the first Ku Klux Klan remained until today by stating that the first Klan died out by the early 1870s.', 'general_facts_label': 'REFUTES', 'same_entity_justification': 'The claim refers to the first Ku Klux Klan which is an organization, while the evidence talks about the first Klan which is a historical movement. Although they are related, they are not necessarily the same entity.', 'same_entity_label': False, 'time_justification': 'The evidence and claim do not provide enough information to make a determination about whether the date or time information in the evidence matches the date or time stated in the claim.', 'time_label': 'NOT ENOUGH INFO', 'topic': 'Ku Klux Klan'}",The evidence refutes the claim that the first Ku Klux Klan remained until today by stating that the first Klan died out by the early 1870s.,REFUTES,"The claim refers to the first Ku Klux Klan which is an organization, while the evidence talks about the first Klan which is a historical movement. Although they are related, they are not necessarily the same entity.",FALSE,The evidence and claim do not provide enough information to make a determination about whether the date or time information in the evidence matches the date or time stated in the claim.,NOT ENOUGH INFO,Ku Klux Klan
55123,"Detroit had an estimated population of over 600,000 in 2015.",SUPPORTS,SUPPORTS,['in 2015'],Detroit,"The municipality of Detroit had a 2015 estimated population of 677,116 , making it the 21st most populous city in the United States .","Detroit had an estimated population of over 600,000 in 2015.","The municipality of Detroit had a 2015 estimated population of 677,116, making it the 21st most populous city in the United States.","['Detroit', '600,000', '2015']","['Detroit', '2015', '677,116', 'the 21st', 'the United States']",0.00181695,0.977035642,0.021147367,"['Detroit', '600,000']","['Detroit', 'an estimated population']","['Detroit', '677,116', 'the United States']","['The municipality', 'Detroit', 'it', 'most populous city', 'the United States']",2,3,3,5,2,5,0.87149024,TRUE,"['Detroit', '2015']","['The municipality of Detroit', 'it', '2015']",['2015'],['2015'],"['600,000']","['677,116']",0.291666667,0.372548997,0.527777731,0.999999881,1,1,"{'general_facts_justification': 'The evidence provides a specific estimated population number for Detroit in 2015, which supports the claim that Detroit had a population over 600,000 in 2015.', 'general_facts_label': 'SUPPORTS', 'same_entity_justification': 'The claim and evidence both refer to the city of Detroit.', 'same_entity_label': True, 'time_justification': 'The evidence specifically mentions the year 2015, which matches the year stated in the claim.', 'time_label': 'SUPPORTS', 'topic': 'Population of Detroit'}","The evidence provides a specific estimated population number for Detroit in 2015, which supports the claim that Detroit had a population over 600,000 in 2015.",SUPPORTS,The claim and evidence both refer to the city of Detroit.,TRUE,"The evidence specifically mentions the year 2015, which matches the year stated in the claim.",SUPPORTS,Population of Detroit
