id,claim,label,golden_evi,claim_temporal_arguments,evidence_title,evidence_content,processed_claim_some_punctuation,processed_evidence_some_punctuation,claim_named_entities,evidences_named_entities,contradiction_prob,neutral_prob,entailment_prob,all_claim_entities,claim_chunks,all_evidence_entities,evidence_chunks,count_claim_entities,count_evidence_entities,count_claim_named_entities,count_evidence_named_entities,count_claim_nouns,count_evidence_nouns,similarity_score,coref_flag,claim_entities_string,evidence_entities_string,temporal_claim,temporal_evidence,claim_numbers,evidence_numbers,all_entities_similarity,all_chunks_similarity,named_entities_similarity,temporal_similarity,count_claim_numbers,count_evidence_numbers,openai_results,same_entity_label,same_entity_justification,general_facts_label,general_facts_justification,time_label,time_justification,topic,claim_temporal,evidence_temporal,relevant_evidence
58219,Theodore Roosevelt was born in 1919.,REFUTES,REFUTES,['in 1919'],Theodore_Roosevelt,"In foreign policy , he focused on Central America , where he began construction of the Panama Canal .",Theodore Roosevelt was born in 1919.,"In foreign policy, he focused on Central America, where he began construction of the Panama Canal.","['Theodore Roosevelt', '1919']","['Central America', 'the Panama Canal']",0.0327848307788372,0.9635235071182252,0.0036916804965585,['Theodore Roosevelt'],['Theodore Roosevelt'],"['Central America', 'the Panama Canal']","['foreign policy', 'he', 'Central America', 'he', 'construction', 'the Panama Canal']",1,2,2,2,1,6,0.2432309687137603,True,['Theodore Roosevelt'],"['he', 'he']",['1919'],[],[],[],0.0902777777777777,0.125,0.0913340225815773,0.0,0,0,"{'claim_temporal': ['born in 1919'], 'evidence_temporal': [], 'general_facts_justification': 'The evidence does not support the claim that Theodore Roosevelt was born in 1919. Instead, it talks about his foreign policy in Central America and the construction of the Panama Canal. This evidence contradicts the claim and therefore refutes it.', 'general_facts_label': 'REFUTES', 'relevant_evidence': [], 'same_entity_justification': 'The claim refers to Theodore Roosevelt, while the evidence talks about his foreign policy and the construction of the Panama Canal in Central America. There is no clear indication that the evidence is referring to the same entity as the claim.', 'same_entity_label': False, 'time_justification': ""The evidence does not provide any information about the time or date of Theodore Roosevelt's birth. Therefore, it is not possible to determine whether the evidence supports, refutes, or has not enough information about the temporal aspect of the claim."", 'time_label': 'NOT ENOUGH INFORMATION', 'topic': ""Theodore Roosevelt's life and accomplishments""}",['born in 1919'],[],"The evidence does not support the claim that Theodore Roosevelt was born in 1919. Instead, it talks about his foreign policy in Central America and the construction of the Panama Canal. This evidence contradicts the claim and therefore refutes it.",REFUTES,[],"The claim refers to Theodore Roosevelt, while the evidence talks about his foreign policy and the construction of the Panama Canal in Central America. There is no clear indication that the evidence is referring to the same entity as the claim.",False,"The evidence does not provide any information about the time or date of Theodore Roosevelt's birth. Therefore, it is not possible to determine whether the evidence supports, refutes, or has not enough information about the temporal aspect of the claim.",NOT ENOUGH INFORMATION,Theodore Roosevelt's life and accomplishments
50432,Bill Gates had a career at Microsoft after helping to found the company.,SUPPORTS,SUPPORTS,['after helping to found the company'],Bill_Gates,"In June 2006 , Gates announced that he would be transitioning from full time work at Microsoft to part time work and full time work at the Bill Melinda Gates Foundation .",Bill Gates had a career at Microsoft after helping to found the company.,"In June 2006, Gates announced that he would be transitioning from full time work at Microsoft to part time work and full time work at the Bill Melinda Gates Foundation.","['Bill Gates', 'Microsoft']","['June 2006', 'Gates', 'Microsoft', 'the Bill Melinda Gates Foundation']",0.0080590955913066,0.9884273409843444,0.003513605101034,"['Bill Gates', 'Microsoft']","['Bill Gates', 'a career', 'Microsoft', 'the company']","['Gates', 'Microsoft', 'the Bill Melinda Gates Foundation']","['June', 'Gates', 'he', 'full time work', 'Microsoft', 'time work', 'full time work', 'the Bill Melinda Gates Foundation']",2,3,2,4,4,8,0.6200484037399292,True,"['Microsoft', 'the company', 'Bill Gates']","['Microsoft', 'Gates', 'he']",[],['june 2006'],[],[],0.5,0.479960024356842,0.5,0.0,0,0,"{'claim_temporal': [], 'evidence_temporal': ['In June 2006'], 'general_facts_justification': 'The evidence states that Gates transitioned from full time work at Microsoft to part time work and full time work at the Bill Melinda Gates Foundation, which supports the claim that he had a career at Microsoft and later left the company.', 'general_facts_label': 'SUPPORTS', 'relevant_evidence': ['Gates announced that he would be transitioning from full time work at Microsoft to part time work and full time work at the Bill Melinda Gates Foundation.'], 'same_entity_justification': 'The evidence refers to Bill Gates, who is the main subject of the claim.', 'same_entity_label': True, 'time_justification': 'The evidence mentions a specific date in June 2006, but it does not provide information about the exact time period when Gates worked at Microsoft or when he left the company. Therefore, there is not enough information to determine whether the temporal information in the evidence supports or refutes the temporal information in the claim.', 'time_label': 'NOT ENOUGH INFO', 'topic': ""Bill Gates' career at Microsoft""}",[],['In June 2006'],"The evidence states that Gates transitioned from full time work at Microsoft to part time work and full time work at the Bill Melinda Gates Foundation, which supports the claim that he had a career at Microsoft and later left the company.",SUPPORTS,['Gates announced that he would be transitioning from full time work at Microsoft to part time work and full time work at the Bill Melinda Gates Foundation.'],"The evidence refers to Bill Gates, who is the main subject of the claim.",True,"The evidence mentions a specific date in June 2006, but it does not provide information about the exact time period when Gates worked at Microsoft or when he left the company. Therefore, there is not enough information to determine whether the temporal information in the evidence supports or refutes the temporal information in the claim.",NOT ENOUGH INFO,Bill Gates' career at Microsoft
58993,Snoop Dog's Doggystyle sold many copies in the first week of its release.,SUPPORTS,NOT ENOUGH INFO,['in the first week of its release'],Doggystyle,Doggystyle is the debut studio album by American rapper Snoop Doggy Dogg .,Snoop Dog s Doggystyle sold many copies in the first week of its release.,Doggystyle is the debut studio album by American rapper Snoop Doggy Dogg.,"['Snoop Dog s Doggystyle', 'the first week']","['Doggystyle', 'American', 'Snoop Doggy Dogg']",0.0094691636040806,0.9608234167099,0.0297074764966964,['Snoop Dog s Doggystyle'],"['Snoop Dog s Doggystyle', 'many copies', 'its release']","['Doggystyle', 'American', 'Snoop Doggy Dogg']","['Doggystyle', 'the debut studio album', 'American rapper Snoop Doggy Dogg']",1,3,2,3,3,3,0.759722113609314,True,"['Snoop Dog s Doggystyle', 'its', 'Snoop Dog s']","['Doggystyle', 'American rapper Snoop Doggy Dogg']",['the first week'],[],[],[],0.35625,0.329575777053833,0.2410714285714285,0.0,0,0,"{'claim_temporal': ['in the first week of its release'], 'evidence_temporal': [], 'general_facts_justification': ""The evidence confirms that Doggystyle is Snoop Dogg's debut studio album, which supports the claim that the album was released."", 'general_facts_label': 'SUPPORTS', 'relevant_evidence': ['Doggystyle is the debut studio album by American rapper Snoop Doggy Dogg.'], 'same_entity_justification': 'The claim and evidence both refer to Snoop Dogg and his album Doggystyle.', 'same_entity_label': True, 'time_justification': ""The evidence does not provide an explicit temporal reference, but the claim specifies that the album sold many copies in the first week of its release, which implies a specific time period. The evidence confirms that the album was released, which supports the claim's temporal aspect."", 'time_label': 'SUPPORTS', 'topic': ""Snoop Dogg's album Doggystyle""}",['in the first week of its release'],[],"The evidence confirms that Doggystyle is Snoop Dogg's debut studio album, which supports the claim that the album was released.",SUPPORTS,['Doggystyle is the debut studio album by American rapper Snoop Doggy Dogg.'],The claim and evidence both refer to Snoop Dogg and his album Doggystyle.,True,"The evidence does not provide an explicit temporal reference, but the claim specifies that the album sold many copies in the first week of its release, which implies a specific time period. The evidence confirms that the album was released, which supports the claim's temporal aspect.",SUPPORTS,Snoop Dogg's album Doggystyle
19794,"In 1899, FC Barcelona was formed.",SUPPORTS,NOT ENOUGH INFO,['In 1899'],FC_Barcelona,"Barcelona was ranked first in the IFFHS Club World Ranking for 1997 , 2009 , 2011 , 2012 and 2015 and currently occupies the third position on the UEFA club rankings .","In 1899, FC Barcelona was formed.","Barcelona was ranked first in the IFFHS Club World Ranking for 1997, 2009, 2011, 2012 and 2015 and currently occupies the third position on the UEFA club rankings.","['1899', 'Barcelona']","['Barcelona', 'first', 'the IFFHS Club World Ranking', '1997, 2009,', '2011', '2012', '2015', 'third', 'UEFA']",0.0037797864060848,0.9932593703269958,0.0029608216136693,['Barcelona'],['FC Barcelona'],"['Barcelona', 'first', 'the IFFHS Club World Ranking', 'third', 'UEFA']","['Barcelona', 'the IFFHS', 'Club World Ranking', 'the third position', 'the UEFA club']",1,5,2,9,1,5,0.4453386068344116,True,['FC Barcelona'],['Barcelona'],['1899'],"['2009', '2015', 'currently', '1997', '2012', '2011']",[],[],0.5,0.3125,0.4432485103607178,0.3864970505237579,0,0,"{'claim_temporal': ['In 1899'], 'evidence_temporal': ['1997', '2009', '2011', '2012', '2015'], 'general_facts_justification': ""The evidence provides information about Barcelona's rankings in various club rankings, but it does not provide any information related to the formation of FC Barcelona in 1899."", 'general_facts_label': 'NOT ENOUGH INFO', 'relevant_evidence': [], 'same_entity_justification': 'The evidence refers to Barcelona, which is the same entity as FC Barcelona mentioned in the claim.', 'same_entity_label': True, 'time_justification': ""The evidence mentions specific years (1997, 2009, 2011, 2012, and 2015) that match the claim's temporal information about the formation of FC Barcelona in 1899."", 'time_label': 'SUPPORTS', 'topic': 'FC Barcelona'}",['In 1899'],"['1997', '2009', '2011', '2012', '2015']","The evidence provides information about Barcelona's rankings in various club rankings, but it does not provide any information related to the formation of FC Barcelona in 1899.",NOT ENOUGH INFO,[],"The evidence refers to Barcelona, which is the same entity as FC Barcelona mentioned in the claim.",True,"The evidence mentions specific years (1997, 2009, 2011, 2012, and 2015) that match the claim's temporal information about the formation of FC Barcelona in 1899.",SUPPORTS,FC Barcelona
10805,Independence Day: Resurgence grossed millions worldwide.,SUPPORTS,NOT ENOUGH INFO,['Independence Day'],Independence_Day_-LRB-1996_film-RRB-,"The film grossed over 817.4 million worldwide , becoming the highest grossing film of 1996 , and briefly , the second highest grossing film worldwide of all time behind 1993 's Jurassic Park .",Independence Day: Resurgence grossed millions worldwide.,"The film grossed over 817.4 million worldwide, becoming the highest grossing film of 1996, and briefly, the second highest grossing film worldwide of all time behind 1993 s Jurassic Park.","['Independence Day:', 'millions']","['over 817.4 million', '1996', 'second', '1993', 'Jurassic Park']",0.0031662785913795,0.9914249181747437,0.0054088472388684,"['Independence Day:', 'millions']","['Independence Day', 'Resurgence', 'millions']","['over 817.4 million', 'second', 'Jurassic Park']","['The film', 'the highest grossing film', 'briefly, the second highest grossing film', 'all time']",2,3,2,5,3,4,0.4152652621269226,True,['Independence Day: Resurgence'],['The film'],['independence day'],"['1996', '1993']",[],"['817.4', 'million']",0.3323086500167846,0.1534772962331771,0.3323086500167846,0.1369177252054214,0,2,"{'claim_temporal': ['1996'], 'evidence_temporal': [], 'general_facts_justification': 'The evidence provides information that supports the claim that Independence Day: Resurgence grossed millions worldwide. The evidence states that the film grossed over 817.4 million worldwide, becoming the highest grossing film of 1996, and briefly, the second highest grossing film worldwide of all time behind 1993 s Jurassic Park.', 'general_facts_label': 'SUPPORTS', 'relevant_evidence': ['The film grossed over 817.4 million worldwide'], 'same_entity_justification': 'The claim and evidence both refer to the same entity, which is the film Independence Day: Resurgence.', 'same_entity_label': True, 'time_justification': ""The evidence does not provide any temporal information that exactly matches the date or time stated in the claim, nor does it provide any information related to the claim's time, date or duration."", 'time_label': 'NOT ENOUGH INFO', 'topic': 'Box Office Performance of Independence Day: Resurgence'}",['1996'],[],"The evidence provides information that supports the claim that Independence Day: Resurgence grossed millions worldwide. The evidence states that the film grossed over 817.4 million worldwide, becoming the highest grossing film of 1996, and briefly, the second highest grossing film worldwide of all time behind 1993 s Jurassic Park.",SUPPORTS,['The film grossed over 817.4 million worldwide'],"The claim and evidence both refer to the same entity, which is the film Independence Day: Resurgence.",True,"The evidence does not provide any temporal information that exactly matches the date or time stated in the claim, nor does it provide any information related to the claim's time, date or duration.",NOT ENOUGH INFO,Box Office Performance of Independence Day: Resurgence
66121,The Dogs D'Amour formed in 2017.,REFUTES,REFUTES,['in 2017'],The_Dogs_D'Amour,"In December 2012 the ` classic ' line up of Tyla , Jo ` Dog ' Almeida , Steve James and Bam agreed to reform to play a series of benefit concerts for their long time friend , and former bandmate , Paul Hornby .",The Dogs D Amour formed in 2017.,"In December 2012 the classic line up of Tyla, Jo Dog Almeida, Steve James and Bam agreed to reform to play a series of benefit concerts for their long time friend, and former bandmate, Paul Hornby.","['The Dogs D Amour', '2017']","['December 2012', 'Tyla', 'Jo Dog Almeida', 'Steve James', 'Bam', 'Paul Hornby']",0.8338007926940918,0.1642453670501709,0.0019538637716323,['The Dogs D Amour'],['The Dogs D Amour'],"['Tyla', 'Jo Dog Almeida', 'Steve James', 'Bam', 'Paul Hornby']","['December', 'the classic line', 'Tyla', 'Jo Dog Almeida', 'Steve James', 'Bam', 'a series', 'benefit concerts', 'their long time friend', 'former bandmate']",1,5,2,6,1,10,0.2121673822402954,False,[],"['the classic line up of Tyla, Jo Dog Almeida, Steve James and Bam', 'their']",['2017'],"['time', 'december 2012', 'former']",[],[],0.2023809523809523,0.2544642857142857,0.2763633728027344,0.5722929835319519,0,0,"{'claim_temporal': ['in 2017'], 'evidence_temporal': ['In December 2012'], 'general_facts_justification': 'The evidence refutes the claim that The Dogs D Amour formed in 2017 by stating that the classic line up of Tyla, Jo Dog Almeida, Steve James and Bam agreed to reform in December 2012.', 'general_facts_label': 'REFUTES', 'relevant_evidence': ['In December 2012 the classic line up of Tyla, Jo Dog Almeida, Steve James and Bam agreed to reform'], 'same_entity_justification': 'The evidence mentions Tyla, Jo Dog Almeida, Steve James and Bam reforming in 2012, while the claim refers to the formation of The Dogs D Amour in 2017. While it is possible that these individuals are part of The Dogs D Amour, the evidence does not explicitly state this and therefore we cannot determine if the claim and evidence refer to the same entity.', 'same_entity_label': False, 'time_justification': 'The evidence explicitly states that the classic line up of Tyla, Jo Dog Almeida, Steve James and Bam agreed to reform in December 2012, which contradicts the claim that The Dogs D Amour formed in 2017.', 'time_label': 'REFUTES', 'topic': 'The formation of The Dogs D Amour'}",['in 2017'],['In December 2012'],"The evidence refutes the claim that The Dogs D Amour formed in 2017 by stating that the classic line up of Tyla, Jo Dog Almeida, Steve James and Bam agreed to reform in December 2012.",REFUTES,"['In December 2012 the classic line up of Tyla, Jo Dog Almeida, Steve James and Bam agreed to reform']","The evidence mentions Tyla, Jo Dog Almeida, Steve James and Bam reforming in 2012, while the claim refers to the formation of The Dogs D Amour in 2017. While it is possible that these individuals are part of The Dogs D Amour, the evidence does not explicitly state this and therefore we cannot determine if the claim and evidence refer to the same entity.",False,"The evidence explicitly states that the classic line up of Tyla, Jo Dog Almeida, Steve James and Bam agreed to reform in December 2012, which contradicts the claim that The Dogs D Amour formed in 2017.",REFUTES,The formation of The Dogs D Amour
15112,Paul Pogba began his football club career in 2011.,SUPPORTS,SUPPORTS,['in 2011'],Manchester_United_F.C.,"Manchester United Football Club is a professional football club based in Old Trafford , Greater Manchester , England , that competes in the Premier League , the top flight of English football .",Paul Pogba began his football club career in 2011.,"Manchester United Football Club is a professional football club based in Old Trafford, Greater Manchester, England, that competes in the Premier League, the top flight of English football.","['Paul Pogba', '2011']","['Manchester United Football Club', 'Old Trafford', 'Greater Manchester', 'England', 'English']",0.0083225620910525,0.9814977645874025,0.0101797012612223,['Paul Pogba'],"['Paul Pogba', 'his football club career']","['Manchester United Football Club', 'Old Trafford', 'Greater Manchester', 'England', 'English']","['Manchester United Football Club', 'a professional football club', 'Old Trafford', 'Greater Manchester', 'England', 'that', 'the Premier League', 'the top flight', 'English football']",1,5,2,5,2,9,0.3066029548645019,False,"['Paul Pogba', 'his']",[],['2011'],[],[],[],0.15625,0.510166585445404,0.1041666666666666,0.0,0,0,"{'claim_temporal': ['in 2011'], 'evidence_temporal': [], 'general_facts_justification': 'The evidence does not provide any information related to the claim, so there is not enough information to determine if it supports or refutes the claim.', 'general_facts_label': 'NOT ENOUGH INFORMATION', 'relevant_evidence': [], 'same_entity_justification': 'The evidence does not mention Paul Pogba, so it cannot refer to the same entity as the claim.', 'same_entity_label': False, 'time_justification': 'The evidence does not contain any explicit temporal references, but it does not contradict the claim that Paul Pogba began his football club career in 2011.', 'time_label': 'SUPPORTS', 'topic': 'Football'}",['in 2011'],[],"The evidence does not provide any information related to the claim, so there is not enough information to determine if it supports or refutes the claim.",NOT ENOUGH INFORMATION,[],"The evidence does not mention Paul Pogba, so it cannot refer to the same entity as the claim.",False,"The evidence does not contain any explicit temporal references, but it does not contradict the claim that Paul Pogba began his football club career in 2011.",SUPPORTS,Football
53486,Katherine Heigl started acting in 2001.,REFUTES,NOT ENOUGH INFO,['in 2001'],Katherine_Heigl,"Heigl played Izzie Stevens on the ABC medical drama Grey 's Anatomy from 2005 to 2010 , a role for which she won the Primetime Emmy Award for Outstanding Supporting Actress in a Drama Series in 2007 .",Katherine Heigl started acting in 2001.,"Heigl played Izzie Stevens on the ABC medical drama Grey s Anatomy from 2005 to 2010, a role for which she won the Primetime Emmy Award for Outstanding Supporting Actress in a Drama Series in 2007.","['Katherine Heigl', '2001']","['Izzie Stevens', 'ABC', '2005', '2010', '2007']",0.0035589325707405,0.9948744177818298,0.0015666256658732,['Katherine Heigl'],['Katherine Heigl'],"['Izzie Stevens', 'ABC']","['Heigl', 'Izzie Stevens', 'the ABC medical drama', 'Grey s Anatomy', 'a role', 'which', 'she', 'the Primetime Emmy Award', 'Outstanding Supporting Actress', 'a Drama Series']",1,2,2,5,1,10,0.50881028175354,True,['Katherine Heigl'],"['Heigl', 'she']",['2001'],"['2010', '2007', '2005']",[],[],0.119047619047619,0.3333333333333333,0.3495396077632904,0.810523509979248,0,0,"{'claim_temporal': ['in 2001'], 'evidence_temporal': ['from 2005 to 2010'], 'general_facts_justification': 'The evidence supports the claim that Katherine Heigl started acting in 2001 by providing information about her acting role from 2005 to 2010.', 'general_facts_label': 'SUPPORTS', 'relevant_evidence': ['Heigl played Izzie Stevens on the ABC medical drama Grey s Anatomy from 2005 to 2010'], 'same_entity_justification': 'The claim and evidence both refer to Katherine Heigl.', 'same_entity_label': True, 'time_justification': ""The evidence explicitly states the time period in which Heigl played a role on Grey's Anatomy, which matches the time period mentioned in the claim."", 'time_label': 'SUPPORTS', 'topic': ""Katherine Heigl's acting career""}",['in 2001'],['from 2005 to 2010'],The evidence supports the claim that Katherine Heigl started acting in 2001 by providing information about her acting role from 2005 to 2010.,SUPPORTS,['Heigl played Izzie Stevens on the ABC medical drama Grey s Anatomy from 2005 to 2010'],The claim and evidence both refer to Katherine Heigl.,True,"The evidence explicitly states the time period in which Heigl played a role on Grey's Anatomy, which matches the time period mentioned in the claim.",SUPPORTS,Katherine Heigl's acting career
45596,The Dogs D'Amour formed in 1983.,SUPPORTS,NOT ENOUGH INFO,['in 1983'],The_Dogs_D'Amour,"In January 2013 , the band recorded an EP in Florida and announced live dates for the UK and Spain .",The Dogs D Amour formed in 1983.,"In January 2013, the band recorded an EP in Florida and announced live dates for the UK and Spain.","['The Dogs D Amour', '1983']","['January 2013', 'EP', 'Florida', 'UK', 'Spain']",0.0056223445571959,0.991719365119934,0.0026582921855151,['The Dogs D Amour'],['The Dogs D Amour'],"['EP', 'Florida', 'UK', 'Spain']","['January', 'the band', 'an EP', 'Florida', 'live dates', 'the UK', 'Spain']",1,4,2,5,1,7,0.2306646704673767,True,['The Dogs D Amour'],['the band'],['1983'],['january 2013'],[],[],0.0357142857142857,0.144047619047619,0.111265942454338,0.3420439958572387,0,0,"{'claim_temporal': ['formed in 1983'], 'evidence_temporal': ['In January 2013'], 'general_facts_justification': ""The evidence does not provide any information directly related to the formation year of 'The Dogs D Amour'."", 'general_facts_label': 'NOT ENOUGH INFO', 'relevant_evidence': [], 'same_entity_justification': ""The evidence mentions a band recording an EP and announcing live dates, but there is no mention of 'The Dogs D Amour' specifically."", 'same_entity_label': False, 'time_justification': 'The evidence mentions a recording and live dates, but there is no mention of any specific year that matches the claim.', 'time_label': 'NOT ENOUGH INFO', 'topic': 'Music'}",['formed in 1983'],['In January 2013'],The evidence does not provide any information directly related to the formation year of 'The Dogs D Amour'.,NOT ENOUGH INFO,[],"The evidence mentions a band recording an EP and announcing live dates, but there is no mention of 'The Dogs D Amour' specifically.",False,"The evidence mentions a recording and live dates, but there is no mention of any specific year that matches the claim.",NOT ENOUGH INFO,Music
25990,"Paul Feig has been nominated for three Emmy Awards for an American television comedy series that aired on NBC from March 24, 2005 to May 16, 2013.",SUPPORTS,SUPPORTS,"['from March 24 , 2005 to May 16 , 2013']",Paul_Feig,Feig has been nominated for two Emmy Awards for writing on Freaks and Geeks and three for directing on The Office .,"Paul Feig has been nominated for three Emmy Awards for an American television comedy series that aired on NBC from March 24, 2005 to May 16, 2013.",Feig has been nominated for two Emmy Awards for writing on Freaks and Geeks and three for directing on The Office.,"['Paul Feig', 'three', 'American', 'NBC', 'March 24, 2005', 'May 16, 2013']","['Feig', 'two', 'Emmy Awards', 'Freaks', 'Geeks', 'three', 'The Office']",0.034549780189991,0.957913875579834,0.0075363190844655,"['Paul Feig', 'three', 'American', 'NBC']","['Paul Feig', 'three Emmy Awards', 'an American television comedy series', 'that', 'NBC', 'March', 'May']","['Feig', 'two', 'Emmy Awards', 'Freaks', 'Geeks', 'three', 'The Office']","['Feig', 'two Emmy Awards', 'writing', 'Freaks', 'Geeks', 'The Office']",4,7,6,7,7,6,0.7264721393585205,True,"['Paul Feig', 'an American television comedy series that aired on NBC from March 24, 2005 to May 16, 2013']","['Feig', 'Freaks and Geeks']","['may 16 2013', 'march 24 2005']",[],['three'],"['two', 'three']",0.3416666388511657,0.2753626406192779,0.2550591230392456,0.0,1,2,"{'claim_temporal': ['from March 24, 2005 to May 16, 2013'], 'evidence_temporal': [], 'general_facts_justification': 'The evidence supports the claim as it confirms that Paul Feig has been nominated for multiple Emmy Awards for his work on television comedy series.', 'general_facts_label': 'SUPPORTS', 'relevant_evidence': ['Feig has been nominated for two Emmy Awards for writing on Freaks and Geeks and three for directing on The Office.'], 'same_entity_justification': 'The claim and evidence both refer to Paul Feig.', 'same_entity_label': True, 'time_justification': 'The evidence supports the claim as it confirms that Paul Feig has been nominated for Emmy Awards and provides no information that contradicts the time frame of the claim.', 'time_label': 'SUPPORTS', 'topic': 'Emmy Awards nominations for Paul Feig'}","['from March 24, 2005 to May 16, 2013']",[],The evidence supports the claim as it confirms that Paul Feig has been nominated for multiple Emmy Awards for his work on television comedy series.,SUPPORTS,['Feig has been nominated for two Emmy Awards for writing on Freaks and Geeks and three for directing on The Office.'],The claim and evidence both refer to Paul Feig.,True,The evidence supports the claim as it confirms that Paul Feig has been nominated for Emmy Awards and provides no information that contradicts the time frame of the claim.,SUPPORTS,Emmy Awards nominations for Paul Feig
